310519 0025   0.000  68.404  12.822   0.000  29.836   0.000  39.222   4.212   3.504   0.000   0.000   4.197   1.016   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 059 0 022 0 0 0 000 000 000 000 
310519 0026   0.000  68.404  12.952   0.000  30.040   0.000  39.222   4.212   3.504   0.000   0.000   4.225   1.016   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 059 0 022 0 0 0 000 000 000 000 
310519 0027   0.000  68.404  12.901   0.000  30.027   0.000  39.222   4.212   3.504   0.000   0.000   4.195   1.016   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 059 0 022 0 0 0 000 000 000 000 
310519 0028   0.000  68.404  12.943   0.000  29.958   0.000  39.222   4.212   3.504   0.000   0.000   4.232   1.016   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0029   0.000  68.404  12.929   0.000  29.986   0.000  39.222   4.212   3.504   0.000   0.000   4.190   1.011   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0030   0.000  68.404  12.836   0.000  29.672   0.000  39.222   4.212   3.504   0.000   0.000   4.237   1.011   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0031   0.000  68.404  12.943   0.000  29.999   0.000  39.222   4.212   3.504   0.000   0.000   4.185   1.011   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0032   0.000  68.404  12.892   0.000  30.067   0.000  39.222   4.212   3.504   0.000   0.000   4.240   1.007   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0033   0.000  68.404  12.980   0.000  30.545   0.000  39.222   4.212   3.504   0.000   0.000   4.182   1.007   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0034   0.000  68.404  12.994   0.000  31.144   0.000  39.222   4.212   3.504   0.000   0.000   4.237   1.007   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0035   0.000  68.404  12.933   0.000  31.226   0.000  39.222   4.212   3.504   0.000   0.000   4.178   1.007   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0036   0.000  68.404  12.947   0.000  31.103   0.000  39.222   4.210   3.504   0.000   0.000   4.235   1.002   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0037   0.000  68.404  12.878   0.000  30.994   0.000  39.222   4.212   3.504   0.000   0.000   4.178   1.002   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0038   0.000  68.404  12.998   0.000  31.076   0.000  39.222   4.210   3.504   0.000   0.000   4.227   0.998   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0039   0.000  68.404  12.882   0.000  30.667   0.000  39.222   4.212   3.504   0.000   0.000   4.178   0.998   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0040   0.000  68.404  12.998   0.000  30.763   0.000  39.222   4.210   3.504   0.000   0.000   4.217   0.998   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0041   0.000  68.404  12.859   0.000  30.340   0.000  39.222   4.212   3.494   0.000   0.000   4.178   0.998   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 060 0 022 0 0 0 000 000 000 000 
310519 0042   0.000  68.404  12.850   0.000  30.163   0.000  39.222   4.210   3.494   0.000   0.000   4.202   0.993   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0043   0.000  68.404  12.827   0.000  30.054   0.000  39.222   4.212   3.504   0.000   0.000   4.182   0.993   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0044   0.000  68.404  12.827   0.000  29.958   0.000  39.222   4.210   3.494   0.000   0.000   4.195   0.993   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
310519 0045   0.000  68.404  12.915   0.000  30.163   0.000  39.222   4.212   3.494   0.000   0.000   4.187   0.993   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 061 0 022 0 0 0 000 000 000 000 
